weekday,hour,predicted_people
Sunday,9,1
Sunday,10,2
Sunday,11,12
Sunday,12,8
Sunday,13,10
Sunday,14,10
Sunday,15,6
Sunday,16,8
Sunday,17,8
Sunday,18,9
Sunday,19,9
Sunday,20,10
Sunday,21,9
Monday,9,4
Monday,10,8
Monday,11,9
Monday,12,4
Monday,13,10
Monday,14,10
Monday,15,3
Monday,16,11
Monday,17,11
Monday,18,9
Monday,19,9
Monday,20,9
Monday,21,9
Tuesday,9,7
Tuesday,10,5
Tuesday,11,9
Tuesday,12,12
Tuesday,13,9
Tuesday,14,9
Tuesday,15,1
Tuesday,16,5
Tuesday,17,4
Tuesday,18,10
Tuesday,19,10
Tuesday,20,10
Tuesday,21,9
Wednesday,9,7
Wednesday,10,6
Wednesday,11,1
Wednesday,12,2
Wednesday,13,10
Wednesday,14,10
Wednesday,15,1
Wednesday,16,2
Wednesday,17,3
Wednesday,18,9
Wednesday,19,8
Wednesday,20,8
Wednesday,21,8
Thursday,9,12
Thursday,10,4
Thursday,11,9
Thursday,12,4
Thursday,13,9
Thursday,14,9
Thursday,15,4
Thursday,16,6
Thursday,17,9
Thursday,18,9
Thursday,19,9
Thursday,20,9
Thursday,21,9
Friday,9,11
Friday,10,0
Friday,11,8
Friday,12,6
Friday,13,8
Friday,14,8
Friday,15,10
Friday,16,5
Friday,17,1
Friday,18,8
Friday,19,8
Friday,20,8
Friday,21,8
Saturday,9,4
Saturday,10,4
Saturday,11,4
Saturday,12,7
Saturday,13,9
Saturday,14,9
Saturday,15,1
Saturday,16,6
Saturday,17,6
Saturday,18,9
Saturday,19,9
Saturday,20,9
Saturday,21,9
