weekday,hour,predicted_people
Sunday,9,8.925121
Sunday,10,8.925121
Sunday,11,8.925121
Sunday,12,8.925121
Sunday,13,8.925121
Sunday,14,8.925121
Sunday,15,8.925121
Sunday,16,8.925121
Sunday,17,8.925121
Sunday,18,10.024031
Sunday,19,10.040774
Sunday,20,10.040774
Sunday,21,10.040774
Monday,9,8.925121
Monday,10,8.925121
Monday,11,9.982877
Monday,12,10.040774
Monday,13,10.040774
Monday,14,10.040774
Monday,15,10.040774
Monday,16,10.040774
Monday,17,10.040774
Monday,18,10.040774
Monday,19,10.040774
Monday,20,10.040774
Monday,21,10.040774
Tuesday,9,8.925121
Tuesday,10,10.004032
Tuesday,11,10.040774
Tuesday,12,10.040774
Tuesday,13,10.040774
Tuesday,14,10.040774
Tuesday,15,10.040774
Tuesday,16,10.040774
Tuesday,17,10.040774
Tuesday,18,10.040774
Tuesday,19,10.040774
Tuesday,20,10.040774
Tuesday,21,10.040774
Wednesday,9,10.040774
Wednesday,10,10.040774
Wednesday,11,10.103177
Wednesday,12,10.040774
Wednesday,13,10.040774
Wednesday,14,10.040774
Wednesday,15,10.040774
Wednesday,16,10.040774
Wednesday,17,10.040774
Wednesday,18,10.040774
Wednesday,19,10.040774
Wednesday,20,10.040774
Wednesday,21,10.040774
Thursday,9,10.040774
Thursday,10,10.040774
Thursday,11,10.040774
Thursday,12,11.042507
Thursday,13,11.09737
Thursday,14,11.09737
Thursday,15,10.056523
Thursday,16,10.040774
Thursday,17,10.040774
Thursday,18,10.040774
Thursday,19,10.040774
Thursday,20,10.040774
Thursday,21,10.040774
Friday,9,10.040774
Friday,10,10.040774
Friday,11,10.040774
Friday,12,8.939836
Friday,13,10.004032
Friday,14,10.040774
Friday,15,10.040774
Friday,16,10.040774
Friday,17,10.040774
Friday,18,11.09737
Friday,19,11.09737
Friday,20,11.09737
Friday,21,11.054795
Saturday,9,10.040774
Saturday,10,10.040774
Saturday,11,10.040774
Saturday,12,10.040774
Saturday,13,10.040774
Saturday,14,10.040774
Saturday,15,10.040774
Saturday,16,10.040774
Saturday,17,10.040774
Saturday,18,10.040774
Saturday,19,10.040774
Saturday,20,10.040774
Saturday,21,10.0904045
